ind,fc,fy,b,d,szx,szy,ag,nu,mu
110,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,0.027370133292346346,3.318933269824588
111,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,0.7754512103073221,3.5726953967001975
112,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,1.4664018609022555,3.7999951990221765
113,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,2.2539479001074123,4.023966380784845
114,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,2.9866451781983314,4.226731551647084
115,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,3.630911767446784,4.399453362206725
116,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,4.212836045663995,4.539514797246498
117,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,4.851971481761679,4.662363026128318
118,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,5.478405359338127,4.775722576768871
119,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,6.082120665060441,4.880032449949668
120,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,6.666601111781747,4.975641890067014
121,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,7.298662127482048,5.054409926447469
122,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,7.931627474296621,5.123008032725895
123,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,8.545322706766918,5.184526674260839
124,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,9.097321147393785,5.233099715844979
125,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,9.723722831792424,5.268916174308464
126,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,10.360266216864881,5.291654735288954
127,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,10.980171776061777,5.308773373880765
128,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,11.585250323920265,5.320146687415114
129,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,12.282363489761208,5.284099310215762
130,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,13.068089729978675,5.202420130746381
131,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,13.829593612554875,5.120030371584694
132,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,14.524297343699418,5.036353914969196
133,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,15.243980338937899,4.9508854103594775
134,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,15.941226445157008,4.8620442310449015
135,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,16.614906238816626,4.768725626289574
136,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,17.274070223192265,4.672594599210537
137,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,17.919909386843685,4.573326265252009
138,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,18.55348789634068,4.4706303350737135
139,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,19.175759539273717,4.36424662913396
140,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,19.742701673638894,4.259846535655893
141,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,20.3448471139131,4.145408715645496
142,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,20.9380143013108,4.02664790753913
143,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,21.52283604040221,3.9033914913481262
144,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,22.099887032453854,3.7754826968297017
145,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,22.669690394498904,3.642778825178263
146,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,23.232723319959298,3.5051497048891176
147,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,23.78942200987049,3.36247634659122
148,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,24.29530598205419,3.226460293882642
